Sales Rep Assigned,Customer Num,Customer Name,Premise,Draft Package,Shipping Address,City,County,Distribution Area,Area,Buyer Count   2026,Cases   2026
Anthony Palmisano,1002,Country Cottage Rest (P),On Premise,2) Draft and Package,1745 Macopin Rd,West Milford,Passaic,Passaic-FF,Passaic-FF,1,314.00
Nick Melissari,37045,Los Cantaritos Cantina,On Premise,2) Draft and Package,791 Midland Ave,Garfield,Bergen,Bergen,Bergen,1,314.00
Allison Scott,14008,The Barnyard and Carriage House,On Premise,2) Draft and Package,754 Totowa Road,Totowa,Passaic,Passaic,Passaic,1,313.00
Allison Scott,19011,Las Maravillas Restaurant,On Premise,2) Draft and Package,410 Wagaraw Road,Hawthorne,Passaic,Passaic,Passaic,1,309.00
Nick Melissari,37011,The Firehouse,On Premise,2) Draft and Package,42 Plauderville Ave,Garfield,Bergen,Bergen,Bergen,1,308.00
Nick Melissari,93002,Roxanne's A),On Premise,2) Draft and Package,150 Franklin Tpk,Mahwah,Bergen,Bergen,Bergen,1,308.00
Anthony Palmisano,231206,Vfw 8441 Vernon,On Premise,2) Draft and Package,313 NJ-94,Vernon,Sussex,Sussex,Sussex,1,308.00
Allison Scott,25082,Crab Island Cajun Seafood & Bar,On Premise,3) Package Only,1016 Main Ave,Clifton,Passaic,Passaic,Passaic,1,307.00
Derrick Laws,15008,Westmount Country Club,On Premise,2) Draft and Package,728 Rifle Camp Road,Woodland Park,Passaic,Passaic,Passaic,1,307.00
Robin Feldman,80019,Kiku Restaurant,On Premise,3) Package Only,365 Rte 17 So.,Paramus,Bergen,Bergen,Bergen,1,306.00
Brian Sengebush,191509,The Beacon,On Premise,2) Draft and Package,453 River Styx Rd,Hopatcong,Sussex,Sussex,Sussex,1,306.00
Allison Scott,10010,Sunset Valley G C (A),On Premise,3) Package Only,47 W Sunset Road,Pompton Plains,Morris,Morris 3,Morris 3,1,303.00
Anthony Palmisano,230119,Smokey's Brick Oven Tav.,On Premise,2) Draft and Package,2 Vernon Crossing Road,Glenwood,Sussex,Sussex,Sussex,1,303.00
Pablo Lopez,22019,Noches De Colombia (Paterson),On Premise,3) Package Only,365 21st Avenue,Paterson,Passaic,Passaic,Passaic,1,303.00
Paul Mclaughlin,71001,Peppercorn's,On Premise,2) Draft and Package,176 Colony Ave,Park Ridge,Bergen,Bergen,Bergen,1,300.00
Javier Melo,15085,Reign,On Premise,2) Draft and Package,138 Belmont Ave,Paterson,Passaic,Passaic,Passaic,1,300.00
Nick Melissari,37022,Ceviche Peruvian Cuisine,On Premise,3) Package Only,517 River Drive,Garfield,Bergen,Sales,Sales,1,300.00
Javier Melo,27018,Cantina Bar,On Premise,3) Package Only,165 Passaic St,Passaic,Passaic,Passaic,Passaic,1,300.00
Allison Scott,12041,Cheesecake Fact (A)Wayne,On Premise,2) Draft and Package,1700 Willowbrook Mall,Wayne,Passaic,Passaic,Passaic,1,300.00
Anthony Palmisano,231305,Early American Tavern,On Premise,2) Draft and Package,9 Main St,Sussex,Sussex,Sussex,Sussex,1,299.00
Nick Melissari,77031,Parkway Lanes,On Premise,2) Draft and Package,200 Rt 46 East,Elmwood Park,Bergen,Bergen,Bergen,1,298.00
Pablo Lopez,24032,El Dorado Rest (Z),On Premise,3) Package Only,255 Parker Ave,Clifton,Passaic,Passaic,Passaic,1,298.00
Mike Ast,95001,Pazza,On Premise,3) Package Only,794 Franklin Ave,Franklin Lakes,Bergen,Bergen,Bergen,1,295.00
Dan Lagala,44047,Sedona Tap House,On Premise,2) Draft and Package,679 Anderson Ave,Cliffside Park,Bergen,Bergen,Bergen,1,294.00
Brian Sengebush,230109,Skyview Golf Course (A),On Premise,2) Draft and Package,226 Lafayette Rd,Sparta,Sussex,Sussex,Sussex,1,294.00
Paul Mclaughlin,59005,Hackensack Golf (A),On Premise,2) Draft and Package,880 Soldier Hill Rd,Oradell,Bergen,Bergen,Bergen,1,292.00
Allison Scott,15067,Naxos Estiatorio,On Premise,2) Draft and Package,1738 Rt 46 W,Woodland Park,Passaic,Passaic,Passaic,1,292.00
Paul Mclaughlin,67002,Brady's Fox Hunt Inn,On Premise,2) Draft and Package,201 Livingston St,Northvale,Bergen,Bergen,Bergen,1,291.00
Anthony Palmisano,6001,Cafe' Chameleon,On Premise,2) Draft and Package,60 Main St,Bloomingdale,Passaic,Passaic,Passaic,1,291.00
Robin Feldman,95002,Indian Trail Club,On Premise,2) Draft and Package,830 Franklin Lakes Rd,Franklin Lakes,Bergen,Bergen,Bergen,1,290.00
Allison Scott,27035,Platinum Dollz,On Premise,2) Draft and Package,426 Van Houten Ave.,Passaic,Passaic,Sales,Sales,1,289.00
Nick Melissari,28024,N Arlington Bowl O Drome,On Premise,2) Draft and Package,200 Schuyler Ave,North Arlington,Bergen,Bergen,Bergen,1,289.00
Allison Scott,14010,Uncorked (P),On Premise,3) Package Only,650 Union Blvd,Totowa,Passaic,Passaic,Passaic,1,288.33
Brian Sengebush,191808,La Mezcalita,On Premise,2) Draft and Package,331 Rt 46 East,Budd Lake,Morris,Morris 1,Morris 1,1,288.00
Nick Melissari,78014,Longhorn Steak Rochele Pk,On Premise,2) Draft and Package,160 Rte 17 North,Rochelle Park,Bergen,Bergen,Bergen,1,284.00
Nick Melissari,92004,Brothers Smokehouse,On Premise,2) Draft and Package,900 Rte 17 No,Ramsey,Bergen,Bergen,Bergen,1,284.00
Allison Scott,12001,T Bowl Tavern (Z),On Premise,2) Draft and Package,300 Preakness Shop Ctr,Wayne,Passaic,Passaic,Passaic,1,283.00
Paul Mclaughlin,52014,El Tango,On Premise,3) Package Only,22-24 N Van Brunt St,Englewood,Bergen,Bergen,Bergen,1,283.00
Nick Melissari,96010,Aldo's Italian Rest(Z),On Premise,2) Draft and Package,640 Wyckoff Ave,Wyckoff,Bergen,Bergen,Bergen,1,282.00
Nick Melissari,37070,The Hive Bar & Bistro,On Premise,2) Draft and Package,142 Outwater Lane,Garfield,Bergen,Bergen,Bergen,1,282.00
Nick Melissari,41013,Viva Margarita Hackensack,On Premise,2) Draft and Package,774 Main St,Hackensack,Bergen,Bergen,Bergen,1,280.00
Allison Scott,25027,Sportzone B&G (P),On Premise,2) Draft and Package,593 Van Houten Ave,Clifton,Passaic,Passaic,Passaic,1,279.00
Brian Sengebush,191521,Patricks Pub (P),On Premise,2) Draft and Package,470 River Styx Rd,Hopatcong,Sussex,Sussex,Sussex,1,278.00
Matt Powierski,77014,Blvd Bar & Grill (Z),On Premise,2) Draft and Package,401 Boulevard,Elmwood Park,Bergen,Bergen,Bergen,1,278.00
Nick Melissari,92002,Anthony's CF Pizza (A) (Ramsey),On Premise,2) Draft and Package,984 Route 17 No Suite B,Ramsey,Bergen,Bergen,Bergen,1,277.00
Javier Melo,24018,Agave Cantina Mexicana,On Premise,3) Package Only,421 Piaget Ave,Clifton,Passaic,Passaic,Passaic,1,277.00
Brian Sengebush,191706,Freddy's Lake House Bar And Grill,On Premise,2) Draft and Package,172 Lackawanna Dr,Stanhope,Sussex,Morris 1,Morris 1,1,276.00
Nick Melissari,94003,Segovia Tavern,On Premise,2) Draft and Package,110 W Oakland Ave,Oakland,Bergen,Bergen,Bergen,1,273.00
Chris Payton,80035,Arcola Country C.,On Premise,2) Draft and Package,24 Paramus Rd,Paramus,Bergen,Bergen,Bergen,1,271.50
Nick Melissari,45007,Cantina 46,On Premise,2) Draft and Package,88 Route 46 W,Ridgefield,Bergen,Sales,Sales,1,270.00
Nick Melissari,49049,The Metropolitan Lounge,On Premise,3) Package Only,190 River Rd,Edgewater,Bergen,Bergen,Bergen,1,269.00
Nick Melissari,35005,Chile,On Premise,3) Package Only,187 Hackensack St,Woodridge,Bergen,Bergen,Bergen,1,268.00
Paul Mclaughlin,69007,Florentine Garden,On Premise,2) Draft and Package,97 Rivervale Road,Rivervale,Bergen,Bergen,Bergen,1,268.00
Pablo Lopez,27073,Noches De Colombia (Passaic),On Premise,3) Package Only,210 Madison St,Passaic,Passaic,Passaic,Passaic,1,267.00
Robin Feldman,73007,Bensi (P),On Premise,2) Draft and Package,387 Washington Ave,Hillsdale,Bergen,Bergen,Bergen,1,266.00
Anthony Palmisano,231214,Mt Creek Kink (So)A,On Premise,2) Draft and Package,130 Rt 94 N,Mcafee,Sussex,Sussex,Sussex,1,266.00
Dan Lagala,49034,In Napoli (A),On Premise,3) Package Only,116 Main St,Fort Lee,Bergen,Bergen,Bergen,1,265.00
Pablo Lopez,21042,Marcet Cafe,On Premise,3) Package Only,1011 Market St,Paterson,Passaic,Passaic,Passaic,1,263.00
Paul Mclaughlin,68011,Old Tappan Golf Course,On Premise,2) Draft and Package,83 De Wolf Rd,Old Tappan,Bergen,Sales,Sales,1,263.00
Robin Feldman,24043,Valley Regency,On Premise,3) Package Only,1129 Valley Road,Clifton,Passaic,Passaic,Passaic,1,262.00
Robin Feldman,71010,Elks Post 2234,On Premise,3) Package Only,13 Sulak Lane,Park Ridge,Bergen,Bergen,Bergen,1,262.00
Nick Melissari,31028,The Union Bar & Provisions,On Premise,2) Draft and Package,170 Union Ave,East Rutherford,Bergen,Bergen,Bergen,1,262.00
Derrick Laws,27027,Shamrock B&G (P),On Premise,2) Draft and Package,13 Hoover Ave,Passaic,Passaic,Passaic,Passaic,1,259.00
Allison Scott,24056,Jaime's (A),On Premise,3) Package Only,915 Bloomfield Ave,Clifton,Passaic,Passaic,Passaic,1,255.00
Javier Melo,27039,Venus Bar & Restaurant,On Premise,3) Package Only,68 Central Ave,Passaic,Passaic,Passaic,Passaic,1,255.00
Robin Feldman,76022,American Lgn (Z) (Saddle Brook),On Premise,3) Package Only,302 Midland Ave,Saddle Brook,Bergen,Bergen,Bergen,1,255.00
Paul Mclaughlin,52033,Blue Akai,On Premise,2) Draft and Package,23 E Palisade Ave,Englewood,Bergen,Bergen,Bergen,1,255.00
Robin Feldman,74014,American Lgn (Z) (Westwood),On Premise,3) Package Only,264 Washington Ave,Westwood,Bergen,Bergen,Bergen,1,254.00
Brian Sengebush,231718,Jumboland Diner,On Premise,2) Draft and Package,438 US-206,Branchville,Sussex,Sussex,Sussex,1,253.00
Brian Sengebush,190903,Taphouse 15,On Premise,2) Draft and Package,75 NJ-15,Wharton,Morris,Morris 1,Morris 1,1,253.00
Nick Melissari,31049,Marcus Live Bar & Grille,On Premise,2) Draft and Package,1 American Dream Way,East Rutherford,Bergen,Bergen,Bergen,1,253.00
Nick Melissari,31047,Jarana,On Premise,2) Draft and Package,1 American Dream Way,East Rutherford,Bergen,Bergen,Bergen,1,253.00
Nick Melissari,80024,Applebee's Paramus,On Premise,2) Draft and Package,Fashion Ctr Mall Rt17 N,Paramus,Bergen,Bergen,Bergen,1,252.00
Pablo Lopez,27145,LOTUS,On Premise,2) Draft and Package,822 Main Ave,Passaic,Passaic,Passaic,Passaic,1,252.00
Nick Melissari,41033,Applebee's (A) Hackensack,On Premise,2) Draft and Package,450 Hackensack Ave.,Hackensack,Bergen,Bergen,Bergen,1,251.00
Brian Sengebush,230122,Krogh's Restaurant & Brew Pub,On Premise,2) Draft and Package,23 White Deer Plaza,Sparta,Sussex,Sussex,Sussex,1,249.17
Robin Feldman,12047,American Lgn 174 Wayne,On Premise,2) Draft and Package,55 Mountain View Blvd,Wayne,Passaic,Passaic,Passaic,1,248.50
Allison Scott,10001,cherry's,On Premise,2) Draft and Package,23 NJ-23,Pequannock,Morris,Morris 3,Morris 3,1,248.00
Nick Melissari,94013,Portobello Feasts,On Premise,3) Package Only,175 Ramapo Valley Rd,Oakland,Bergen,Bergen,Bergen,1,248.00
Brian Sengebush,1024,Buffalo Wild Wings (Rockaway),On Premise,2) Draft and Package,343 Mount Hope Ave,Rockaway,Morris,Morris 1,Morris 1,1,248.00
Paul Mclaughlin,63002,Alpine C.C. (Z),On Premise,2) Draft and Package,80 Anderson Ave,Demarest,Bergen,Bergen,Bergen,1,247.00
Allison Scott,15070,Brownstone House,On Premise,2) Draft and Package,351 W Broadway,Paterson,Passaic,Passaic,Passaic,1,246.00
Brian Sengebush,191715,Shakey Jake's (P),On Premise,2) Draft and Package,134 NJ-183,Stanhope,Sussex,Sussex,Sussex,1,246.00
Pablo Lopez,27099,Mama Sushi Rest & Lounge,On Premise,3) Package Only,663 Main Ave,Passaic,Passaic,Passaic,Passaic,1,246.00
Robin Feldman,12023,The Village Inn,On Premise,2) Draft and Package,422 Runnymede Drive,Wayne,Passaic,Passaic,Passaic,1,245.58
Michael Harboy,12003,Whole Foods Market (Wayne),On Premise,2) Draft and Package,580 Valley Road,Wayne,Passaic,Passaic,Passaic,1,245.00
Brian Sengebush,191805,Pavilion Lounge(Z),On Premise,2) Draft and Package,44 Sand Shore Rd,Budd Lake,Morris,Morris 1,Morris 1,1,244.00
Paul Mclaughlin,71011,Marriott (P) Park Ridge,On Premise,2) Draft and Package,300 Brae Blvd,Park Ridge,Bergen,Bergen,Bergen,1,243.17
Paul Mclaughlin,50015,PUB 178,On Premise,2) Draft and Package,178 Cedar Lane,Teaneck,Bergen,Bergen,Bergen,1,242.00
Dan Lagala,49065,Haven Rest/Bar (A),On Premise,3) Package Only,2 Main St,Edgewater,Bergen,Bergen,Bergen,1,242.00
Anthony Palmisano,191208,The Grill Room,On Premise,2) Draft and Package,53 Schoolhouse Road,Oak Ridge,Morris,Morris 1,Morris 1,1,242.00
Nick Melissari,94004,Hansil's Bar (P),On Premise,2) Draft and Package,7 Ramapo Valley Rd.,Oakland,Bergen,Bergen,Bergen,1,241.00
Brian Sengebush,190102,Lake Valhalla Club (P),On Premise,2) Draft and Package,13 Vista Rd,Montville,Morris,Morris 1,Morris 1,1,241.00
Brian Sengebush,190606,Peace Pipe Cc (P),On Premise,2) Draft and Package,1 Lee Road,Denville,Morris,Morris 1,Morris 1,1,241.00
Brian Sengebush,230430,Applebee's Grill(A)Newton,On Premise,2) Draft and Package,6 North Park Drive,Newton,Sussex,Sussex,Sussex,1,240.00
Brian Sengebush,191618,Polo's Bar And Grill,On Premise,2) Draft and Package,140 ledgewood ave,Netcong,Morris,Morris 1,Morris 1,1,240.00
Paul Mclaughlin,67014,The Rockleigh C C (P),On Premise,2) Draft and Package,26 Paris Ave,Rockleigh,Bergen,Bergen,Bergen,1,239.33
Brian Sengebush,191006,Gatwyns II (P),On Premise,2) Draft and Package,900 Route 15 North,Lake Hopatcong,Morris,Morris 1,Morris 1,1,238.00
Robin Feldman,190919,Amer Lgn Of Wharton 91,On Premise,2) Draft and Package,99 N Main St,Wharton,Morris,Morris 1,Morris 1,1,237.17
Dan Lagala,44033,Brass Rail Pub_2,On Premise,3) Package Only,339 Palisade Ave,Cliffside Park,Bergen,Bergen,Bergen,1,236.00
Robin Feldman,52027,American Lgn 58 (A) Englewood,On Premise,3) Package Only,151 W Forest Ave,Englewood,Bergen,Bergen,Bergen,1,236.00
Paul Mclaughlin,41020,Lidos Restaurant (P),On Premise,2) Draft and Package,701 Main St,Hackensack,Bergen,Bergen,Bergen,1,235.00
Allison Scott,9002,Tavern 5_2,On Premise,2) Draft and Package,710 Newark Pompton Turnpi,Pompton Plains,Morris,Morris 3,Morris 3,1,235.00
Chris Payton,81018,B R C Catering (P),On Premise,2) Draft and Package,24-20 Broadway,Fair Lawn,Bergen,Bergen,Bergen,1,235.00
Matt Powierski,36043,Sports Bar & Liquors,On Premise,2) Draft and Package,171 Hathaway St,Wallington,Bergen,Bergen,Bergen,1,235.00
Robin Feldman,191203,American Lgn Oak Ridge Post 423,On Premise,3) Package Only,28 Legion Road,Oak Ridge,Morris,Morris 1,Morris 1,1,235.00
Paul Mclaughlin,51014,Marriott (A) Teaneck,On Premise,2) Draft and Package,100 Frank Burr Blvd,Teaneck,Bergen,Bergen,Bergen,1,235.00
Allison Scott,24038,J. Alexander's Restaurant,On Premise,2) Draft and Package,405 Allwood Road,Clifton,Passaic,Passaic,Passaic,1,234.00
Paul Mclaughlin,39006,Fat Bastard & Sons,On Premise,2) Draft and Package,434 Route 46 West,South Hackensac,Bergen,Sales,Sales,1,234.00
Paul Mclaughlin,81003,Fair Lawn Lanes (P),On Premise,2) Draft and Package,22-22 Maple Ave,Fair Lawn,Bergen,Bergen,Bergen,1,233.00
Robin Feldman,231708,American Lgn Branchville,On Premise,2) Draft and Package,325 Us-206,Branchville,Sussex,Sussex,Sussex,1,231.00
Anthony Palmisano,191209,Valley Tavern,On Premise,3) Package Only,5604 Berkshire Valley Rd,Oak Ridge,Morris,Morris 1,Morris 1,1,231.00
Javier Melo,27051,Factory 220,On Premise,3) Package Only,220 Passaic St,Passaic,Passaic,Passaic,Passaic,1,228.00
Allison Scott,24039,Veterans Post (9),On Premise,2) Draft and Package,147 Huron Ave,Clifton,Passaic,Passaic,Passaic,1,228.00
Dan Lagala,49016,Ipic Theaters,On Premise,2) Draft and Package,2023 Hudson St,Fort Lee,Bergen,Bergen,Bergen,1,227.00
Pablo Lopez,33005,La Havana 59,On Premise,3) Package Only,110 Moonachie Ave,Moonachie,Bergen,Bergen,Bergen,1,226.33
Anthony Palmisano,231303,The Sussex Saloon,On Premise,2) Draft and Package,15-17 Main St,Sussex,Sussex,Sales,Sales,1,226.00
Robin Feldman,86005,K Of C (Z) Washing. Twsp,On Premise,2) Draft and Package,79 Pascack Rd,Washington Twsp,Bergen,Bergen,Bergen,1,226.00
Nick Melissari,80054,Chili's Paramus,On Premise,2) Draft and Package,75 Rt17 Garden State Pl,Paramus,Bergen,Bergen,Bergen,1,225.00
Allison Scott,9005,The Legacy Castle,On Premise,3) Package Only,141 NJ-23,Pompton Plains,Morris,Morris 3,Morris 3,1,225.00
Dan Lagala,43031,La Fortuna (P),On Premise,3) Package Only,430 Kamena St,Fairview,Bergen,Bergen,Bergen,1,225.00
Allison Scott,12051,Packanack Golf (P),On Premise,2) Draft and Package,7 Osborne Terrace,Wayne,Passaic,Passaic,Passaic,1,225.00
Paul Mclaughlin,62003,Stern And Bow,On Premise,2) Draft and Package,171 Schraalenburgh Rd,Closter,Bergen,Bergen,Bergen,1,225.00
Robin Feldman,76004,Marriot Hotel(A)Saddle Bk,On Premise,2) Draft and Package,138 New Pehle Ave,Saddle Brook,Bergen,Bergen,Bergen,1,223.00
Matt Powierski,37038,Wisla Center (Z),On Premise,3) Package Only,73 Main St,Garfield,Bergen,Bergen,Bergen,1,222.00
Robin Feldman,1026,American Legion Post 289 (A) West Milford,On Premise,2) Draft and Package,177 Lincoln Av,West Milford,Passaic,Passaic-FF,Passaic-FF,1,221.00
Paul Mclaughlin,61004,Andiamo,On Premise,2) Draft and Package,23 Hardenburgh Ave,Haworth,Bergen,Bergen,Bergen,1,220.83
Brian Sengebush,230101,"Tomahawk Lake,Inc",On Premise,2) Draft and Package,153 Tomahawk Trail,Sparta,Sussex,Sussex,Sussex,1,220.00
Paul Mclaughlin,69003,Edgewood Country Club,On Premise,2) Draft and Package,449 Rivervale Rd,Rivervale,Bergen,Bergen,Bergen,1,217.33
Nick Melissari,35006,The Concourse #728,On Premise,3) Package Only,379 Rt 17 South,Woodridge,Bergen,Sales,Sales,1,217.00
Paul Mclaughlin,56001,Tony's Italian Cuisine,On Premise,2) Draft and Package,127 S. Washington Ave,Bergenfield,Bergen,Sales,Sales,1,217.00
Brian Sengebush,1022,The Cheesecake Factory,On Premise,2) Draft and Package,301 Mt. Hope Ave,Rockaway,Morris,Morris 1,Morris 1,1,217.00
Paul Mclaughlin,62008,Bareburger (Closter),On Premise,2) Draft and Package,129 Vervalen St,Closter,Bergen,Bergen,Bergen,1,217.00
Brian Sengebush,190219,Columbia Inn,On Premise,2) Draft and Package,29 Main Rd.,Montville,Morris,Morris 1,Morris 1,1,216.33
Matt Powierski,42017,Cast Iron Pot Signature,On Premise,2) Draft and Package,260 Bergen Turnpike,Little Ferry,Bergen,Bergen,Bergen,1,216.00
Robin Feldman,230302,Perona Farms,On Premise,2) Draft and Package,350 Andover Sparta Rd,Andover,Sussex,Sussex,Sussex,1,215.00
Robin Feldman,230118,Lake Mohawk (P) Golf Club,On Premise,2) Draft and Package,471 West Shore Trail,Sparta,Sussex,Sussex,Sussex,1,214.00
Paul Mclaughlin,62011,Sear House (A),On Premise,3) Package Only,411 Piermont Rd,Closter,Bergen,Bergen,Bergen,1,214.00
Brian Sengebush,230116,Lake Mohawk Country Club,On Premise,2) Draft and Package,21 Lake Mohawk Country Club Boardwalk,Sparta,Sussex,Sussex,Sussex,1,213.00
Javier Melo,27110,El Camaron Mazatleco,On Premise,2) Draft and Package,166 Market St,Passaic,Passaic,Sales,Sales,1,213.00
Nick Melissari,92006,Chili's Ramsey (A),On Premise,2) Draft and Package,900 Rt 17 N,Ramsey,Bergen,Bergen,Bergen,1,213.00
Brian Sengebush,191507,The Windlass Rest (A),On Premise,2) Draft and Package,45 Nolans Point Park Rd,Lake Hopatcong,Morris,Morris 1,Morris 1,1,213.00
Mike Ast,83009,Jalapeno Mex. Grille(A),On Premise,2) Draft and Package,930 Prospect St,Glen Rock,Bergen,Bergen,Bergen,1,212.00
Robin Feldman,47014,K Of C 2229 (Z),On Premise,3) Package Only,106 Bergen Ave,Ridgefield Park,Bergen,Bergen,Bergen,1,211.17
Matt Powierski,42014,Segovia Steak House(A),On Premise,2) Draft and Package,217 Main St,Little Ferry,Bergen,Bergen,Bergen,1,211.00
Nick Melissari,31013,Elia Restaurant,On Premise,2) Draft and Package,240 Hackensack St,East Rutherford,Bergen,Bergen,Bergen,1,211.00
Nick Melissari,31020,Chili's B & G E Rutherfor,On Premise,2) Draft and Package,140 Rte 17 North,East Rutherford,Bergen,Bergen,Bergen,1,210.00
Nick Melissari,41026,Amc- Shops @ Riverside P,On Premise,2) Draft and Package,390 Hackensack Ave,Hackensack,Bergen,Bergen,Bergen,1,208.00
Allison Scott,23013,Vfw 7165 (P),On Premise,2) Draft and Package,491 Valley Rd,Clifton,Passaic,Passaic,Passaic,1,208.00
Dan Lagala,49076,Raku Izakaya (Z),On Premise,2) Draft and Package,209 Main Street,Fort Lee,Bergen,Bergen,Bergen,1,206.00
Allison Scott,24048,Dante's,On Premise,2) Draft and Package,955 Valley Rd,Clifton,Passaic,Passaic,Passaic,1,206.00
Pablo Lopez,25087,Sarina Bar,On Premise,3) Package Only,108 Center St,Clifton,Passaic,Passaic,Passaic,1,206.00
Chris Payton,38028,Colombia Bakery Factory & Restaurant,On Premise,2) Draft and Package,1 South Main St,Lodi,Bergen,Sales,Sales,1,206.00
Mike Ast,84015,The Office 2131 Ridgewood,On Premise,2) Draft and Package,32-34 Chestnut St,Ridgewood,Bergen,Bergen,Bergen,1,205.00
Allison Scott,8006,pompton crafthouse,On Premise,2) Draft and Package,23 Wanaque Ave,Pompton Lakes,Passaic,Passaic-FF,Passaic-FF,1,205.00
Paul Mclaughlin,54011,Knickerbocker Golf (P),On Premise,2) Draft and Package,188 Knickerbocker Rd,Tenafly,Bergen,Bergen,Bergen,1,204.17
Allison Scott,17001,Underdog Lounge(P),On Premise,2) Draft and Package,4 Church Street,Haledon,Passaic,Passaic,Passaic,1,204.00
Allison Scott,25052,Uno Chicago Grl (A)Clifto,On Premise,2) Draft and Package,426 Rt 3 W.River Frontcnt,Clifton,Passaic,Passaic,Passaic,1,204.00
Paul Mclaughlin,68003,Aurora Restaurant,On Premise,2) Draft and Package,203 Old Tappan Rd,Old Tappan,Bergen,Sales,Sales,1,203.17
Allison Scott,17003,D'CARBON BAR AND GRILL haledon,On Premise,2) Draft and Package,529 Belmont Ave,Haledon,Passaic,Passaic,Passaic,1,203.00
Paul Mclaughlin,74001,Lolitas Mexican Cantina,On Premise,2) Draft and Package,65 Old Hook Rd,Westwood,Bergen,Bergen,Bergen,1,203.00
Pablo Lopez,25073,Aruba Lounge (P),On Premise,3) Package Only,240 Dayton Ave,Clifton,Passaic,Passaic,Passaic,1,202.00
Dan Lagala,44027,354 Steakhouse (A),On Premise,2) Draft and Package,354 Lawton Ave,Cliffside Park,Bergen,Bergen,Bergen,1,201.00
Nick Melissari,93014,Double Tree By Hilton,On Premise,2) Draft and Package,180 Rt 17 S,Mahwah,Bergen,Bergen,Bergen,1,201.00
Nick Melissari,49059,Outback Steakhouse(Z)Edg,On Premise,2) Draft and Package,539 River Rd,Edgewater,Bergen,Bergen,Bergen,1,201.00
Brian Sengebush,190306,Lena y Carbon VII Parsippany,On Premise,2) Draft and Package,450 N Beverwyck Rd,Parsippany,Morris,Morris 1,Morris 1,1,200.00
Brian Sengebush,191008,Jefferson Diner & Tav(P),On Premise,2) Draft and Package,5 Bowling Green Parkway,Lake Hopatcong,Morris,Morris 1,Morris 1,1,199.00
Dan Lagala,44028,512 Bar,On Premise,3) Package Only,512 Anderson Ave,Cliffside Park,Bergen,Bergen,Bergen,1,199.00
Brian Sengebush,230103,St.Moritz Grill & Bar,On Premise,2) Draft and Package,9 White Deer Plaza,Sparta,Sussex,Sussex,Sussex,1,198.50
Paul Mclaughlin,40038,Forte Ristorante,On Premise,2) Draft and Package,160 Prospect Ave,Hackensack,Bergen,Bergen,Bergen,1,197.00
Robin Feldman,190712,White Meadow Lake Cc,On Premise,2) Draft and Package,100 White Meadow Rd,Rockaway,Morris,Morris 1,Morris 1,1,197.00
Paul Mclaughlin,65005,Dimora Ristorante (P),On Premise,3) Package Only,100 Piermont Rd,Norwood,Bergen,Bergen,Bergen,1,197.00
Allison Scott,8014,Macks American Bar/Grill,On Premise,2) Draft and Package,300 Wanaque Ave,Pompton Lakes,Passaic,Passaic,Passaic,1,196.00
Robin Feldman,28017,Lassoni Ristorante(P),On Premise,3) Package Only,602 Ridge Rd,North Arlington,Bergen,Bergen,Bergen,1,195.00
Matt Powierski,77017,Hook & Reel,On Premise,2) Draft and Package,100 Broaway Suite 13,Elmwood Park,Bergen,Bergen,Bergen,1,193.00
Allison Scott,13018,Chili's Little Falls,On Premise,2) Draft and Package,1165 Rte 46 East,Little Falls,Passaic,Passaic,Passaic,1,192.00
Office Tell Sell,49006,Ga Yeon Restaurant,On Premise,2) Draft and Package,2020 Hudson St,Fort Lee,Bergen,Bergen,Bergen,1,191.00
Paul Mclaughlin,65007,86 and Vine,On Premise,2) Draft and Package,519 Livingston St.,Norwood,Bergen,Sales,Sales,1,190.50
Paul Mclaughlin,86007,Bacari,On Premise,3) Package Only,800 Ridgewood Rd,Washington Twsp,Bergen,Bergen,Bergen,1,190.00
Dan Lagala,49018,Jumong Restaurant,On Premise,2) Draft and Package,1550 Lemoine Ave,Fort Lee,Bergen,Bergen,Bergen,1,189.00
Mike Ast,83011,Stone & Rail,On Premise,2) Draft and Package,175 Rock Rd,Glen Rock,Bergen,Bergen,Bergen,1,189.00
Paul Mclaughlin,74012,Iron Horse,On Premise,2) Draft and Package,20 Washington Ave,Westwood,Bergen,Bergen,Bergen,1,188.00
Nick Melissari,93007,Rp Prime Restaurant,On Premise,2) Draft and Package,209 Ramapo Valley Rd,Mahwah,Bergen,Bergen,Bergen,1,188.00
Javier Melo,27055,Don Lalo Restaurant,On Premise,3) Package Only,879 Main Ave,Passaic,Passaic,Passaic,Passaic,1,188.00
Paul Mclaughlin,40008,Tavern 61 (Z),On Premise,2) Draft and Package,61 River St,Hackensack,Bergen,Bergen,Bergen,1,187.50
Brian Sengebush,190106,Rails Steakhouse (A),On Premise,2) Draft and Package,10 Whitehall Road,Towaco,Morris,Morris 1,Morris 1,1,187.00
Nick Melissari,92013,Varka,On Premise,3) Package Only,30 N Spruce St,Ramsey,Bergen,Bergen,Bergen,1,186.50
Robin Feldman,190718,Marcella Community Club,On Premise,3) Package Only,831 Greenpond Road,Rockaway,Morris,Morris 1,Morris 1,1,186.00
Robin Feldman,191406,Courtyard Marriott Mt Arl,On Premise,3) Package Only,15 Howard Blvd,Mt Arlington,Morris,Morris 1,Morris 1,1,185.17
